*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
* LINGRA-new-JRC
 
TIME	SLA	YEAR	DAVTMP	DTR	DAYL	LAI	TILLER	YIELD	WLVG	WLVD1	WRE	WRT	WRTMIN	RRATIO	SLAINT	PARCU	LUEYCU	RUNNR	GRASS	TADRW	VP	NEWBIO	TRANRF	TRAN	PTRAN	EVAP	PEVAP	WC	WA	RAIN	RAINCU	WN	TRAMCU	TRACU	EVAMCU	EVACU	IRRCU	GTW	GTWSI	LENGTH
 
   1.00000    	 2.50000E-03	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   1.00000    	       -    	  1989.0    	  6.4500    	 0.90000    	 0.31733    	 0.10000    	  7000.0    	  0.0000    	  40.000    	  0.0000    	  200.00    	  4.0000    	 -4.0000    	  0.0000    	 2.50000E-03	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 0.90000    	  0.0000    	  1.0000    	 1.60141E-03	 1.60141E-03	 4.90198E-02	 4.90198E-02	 0.29000    	  116.00    	  0.0000    	  0.0000    	 0.80000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  65.871    	  65.871    	  0.0000    
   2.00000    	       -    	  1989.0    	  5.8500    	  1.7300    	 0.31817    	 0.23651    	  7042.5    	  0.0000    	  94.604    	 0.39801    	  134.44    	  14.869    	 -14.869    	  0.0000    	 2.50000E-03	 2.62060E-02	  0.0000    	  0.0000    	  0.0000    	  94.604    	 0.81000    	-8.35390E-02	  1.0000    	 1.45585E-02	 1.45585E-02	 0.14732    	 0.14732    	 0.29000    	  116.00    	  0.0000    	  0.0000    	  1.5000    	 1.60141E-03	 1.60141E-03	 4.90198E-02	 4.90198E-02	 5.06212E-02	  58.068    	  58.068    	 0.65479    
   3.00000    	       -    	  1989.0    	  2.7000    	  2.4000    	 0.31907    	 0.35537    	  7088.4    	  0.0000    	  142.15    	  1.3393    	  77.848    	  24.450    	 -24.450    	  1.0000    	 2.50000E-03	 0.14064    	  0.0000    	  0.0000    	  0.0000    	  142.15    	 0.66000    	 0.44793    	  1.0000    	 5.17162E-02	 5.17162E-02	 0.30287    	 0.30287    	 0.29000    	  116.00    	  0.0000    	  0.0000    	  2.8000    	 1.61599E-02	 1.61599E-02	 0.19634    	 0.19634    	 0.21250    	  0.0000    	  0.0000    	  1.2285    
   4.00000    	       -    	  1989.0    	  2.9500    	 0.66000    	 0.32004    	 0.35184    	  7135.7    	  0.0000    	  140.74    	  2.7537    	  80.911    	  24.450    	 -24.450    	  1.0000    	 2.50000E-03	 0.37107    	  0.0000    	  0.0000    	  0.0000    	  140.74    	 0.68000    	  2.0966    	  1.0000    	  0.0000    	  0.0000    	 0.12676    	 0.12676    	 0.29000    	  116.00    	  1.8000    	  0.0000    	  3.8000    	 6.78762E-02	 6.78762E-02	 0.49921    	 0.49921    	 0.56709    	  0.0000    	  0.0000    	  1.2285    
   5.00000    	       -    	  1989.0    	  3.9500    	  1.9600    	 0.32108    	 0.34834    	  7175.4    	  0.0000    	  139.34    	  4.1541    	  81.651    	  24.450    	 -24.450    	  1.0000    	 2.50000E-03	 0.43388    	  0.0000    	  0.0000    	  0.0000    	  139.34    	 0.77000    	  1.4363    	  1.0000    	 5.82847E-03	 5.82847E-03	 0.29107    	 0.29107    	 0.29000    	  116.00    	  5.4000    	  1.8000    	  3.9000    	 6.78762E-02	 6.78762E-02	 0.62597    	 0.62597    	 0.56709    	  25.551    	  25.551    	  1.2285    
   6.00000    	       -    	  1989.0    	  6.9500    	  1.4100    	 0.32218    	 0.39821    	  7209.5    	  0.0000    	  159.28    	  5.5405    	  58.055    	  28.666    	 -28.666    	  1.0000    	 2.50000E-03	 0.61871    	  0.0000    	  0.0000    	  0.0000    	  159.28    	 0.97000    	  2.0046    	  1.0000    	  0.0000    	  0.0000    	 0.19333    	 0.19333    	 0.29000    	  116.00    	  5.5000    	  7.2000    	  2.3000    	 7.37046E-02	 7.37046E-02	 0.91704    	 0.91704    	 0.56708    	  59.566    	  74.263    	  1.4763    
   7.00000    	       -    	  1989.0    	  4.9500    	  1.9100    	 0.32335    	 0.51859    	  7241.1    	  0.0000    	  207.44    	  7.1254    	  0.0000    	  38.494    	 -38.494    	  1.0000    	 2.50000E-03	 0.76854    	  0.0000    	  0.0000    	  0.0000    	  207.44    	 0.86971    	  1.9312    	  1.0000    	 6.48435E-02	 6.48435E-02	 0.24826    	 0.24826    	 0.29000    	  116.00    	  0.0000    	  12.700    	  2.4000    	 7.37046E-02	 7.37046E-02	  1.1104    	  1.1104    	 0.56709    	  2.9237    	  45.277    	  2.1931    
   8.00000    	       -    	  1989.0    	  9.1500    	 0.60000    	 0.32457    	 0.51954    	  7278.2    	  0.0000    	  207.81    	  9.1894    	  0.0000    	  38.977    	 -38.977    	  1.0000    	 2.50000E-03	  1.0239    	  0.0000    	  0.0000    	  0.0000    	  207.81    	  1.1000    	  2.7909    	  1.0000    	  0.0000    	  0.0000    	 9.45953E-02	 9.45953E-02	 0.29000    	  116.00    	 0.20000    	  12.700    	  3.4000    	 0.13855    	 0.13855    	  1.3586    	  1.3586    	 0.88019    	 0.92188    	  98.846    	  2.6282    
